,ID,poem_author,language,original_poem,light_clean_poem,theme,big_theme
938,1024,Vasyl Makhno,Ukrainian,"Росіянам

де ж ваш син? в Україні воює?
під Гостомелем чи в Ірпені?
в зимнім танку чи в шанці ночує
чи згорів у пекельнім вогні?

що ж йому український чорнозем
поробив – що він в’їхав сюди?
залишивши сибірські морози
астраханські заплави й степи?

в нас молочнії ріки й кисільні
береги – в нас зчорніла земля
нас Шевченко словами засіяв
він сказав: що сем’я - це сім’я

то чого ж це ваш Коля чи Ваня
убиває грабує й палить
зизо зирка на київські бані
й на камінне мовчання століть?

то чого ж ви не крикнете: сину
поки він ще ковтає сухпай
не вези цю цистерну з бензином
у росію бери повертай

вам же скніти в пропащій родіні
свого Вані - і вашій атож
звісно Ваню не пальцем роблено
але чим невідомо також

ваші риси мигнуть азіатськими
то очима – немов в кобилиць -
то горами й степами кипчацькими
що змішались із кров’ю колись 

з Іоаном святим й Параскевами
хрестним ходом навіщо й куди
ув ушанках в подертих кедах
вас ведуть ваші тлусті попи

звісно тьма вас – і вас безмірно
звісно тисячі ваших Вань
входять мірно із русскім міром
залишаючи безмір страждань

то ж ваш карб на чолі - Гостомель
Маріуполь - ваш карб поміж брів
за Шевченком: ні титли ні коми...
й на хера нам таких братів

24 березня 2022",Росіянам  де ж ваш син? в Україні воює? під Гостомелем чи в Ірпені? в зимнім танку чи в шанці ночує чи згорів у пекельнім вогні?  що ж йому український чорнозем поробив – що він в’їхав сюди? залишивши сибірські морози астраханські заплави й степи?  в нас молочнії ріки й кисільні береги – в нас зчорніла земля нас Шевченко словами засіяв він сказав: що сем’я - це сім’я  то чого ж це ваш Коля чи Ваня убиває грабує й палить зизо зирка на київські бані й на камінне мовчання століть?  то чого ж ви не крикнете: сину поки він ще ковтає сухпай не вези цю цистерну з бензином у росію бери повертай  вам же скніти в пропащій родіні свого Вані - і вашій атож звісно Ваню не пальцем роблено але чим невідомо також  ваші риси мигнуть азіатськими то очима – немов в кобилиць - то горами й степами кипчацькими що змішались із кров’ю колись   з Іоаном святим й Параскевами хрестним ходом навіщо й куди ув ушанках в подертих кедах вас ведуть ваші тлусті попи  звісно тьма вас – і вас безмірно звісно тисячі ваших Вань входять мірно із русскім міром залишаючи безмір страждань  то ж ваш карб на чолі - Гостомель Маріуполь - ваш карб поміж брів за Шевченком: ні титли ні коми... й на хера нам таких братів  24 березня 2022,"{'mariupol', 'nature', 'family', 'russia', 'ukraine', 'soldiers', 'war', 'death', 'shevchenko'}","['nature', 'family', 'war', 'death']"
939,1027,Boris Khersonsky,Russian,"***
Отдавал-выполнял приказ? Подписал себе приговор.
Кончено время. когда не пойман-не вор.
Кончено время, когда не убийца солдат,
Кончено время, когда рад лишь тот, кто богат.
В общем многое кончено. Многое завершено.
Господь глядит с небес. распахнув окно.
Военное время празднует ранний восход.
Кремлевская блядь раскрывает секретный код.
Поезд ушел. Ты опоздал навсегда.
А так торопился - и это в твои-то года!
Пора затыкать свой рот. Пора закрывать лабаз.
Ты сам подписал приговор, когда отдавал приказ.","*** Отдавал-выполнял приказ? Подписал себе приговор. Кончено время. когда не пойман-не вор. Кончено время, когда не убийца солдат, Кончено время, когда рад лишь тот, кто богат. В общем многое кончено. Многое завершено. Господь глядит с небес. распахнув окно. Военное время празднует ранний восход. Кремлевская блядь раскрывает секретный код. Поезд ушел. Ты опоздал навсегда. А так торопился - и это в твои-то года! Пора затыкать свой рот. Пора закрывать лабаз. Ты сам подписал приговор, когда отдавал приказ.","{'judgment', 'war', 'religion', 'russia'}","['war', 'religion']"
941,1029,Boris Khersonsky,Russian,"***
Сравняешь город с землей - ни города, ни земли:
камни, осколки, обломки, смешанные с золой,
и где те войска, которые в бывшую землю вели?
Ржавый металл, взрывчатка, культурно-военный слой.
Ядерный апокалипсис молча стоит вдали.
Умер шут короля. Мертвый, но очень злой.
Кто теперь перед владыкой будет скакать козлом?
Кто будет трясти бубенцами на цветном колпаке?
Плывет военный кораблик. На нем девица с веслом -
гипсовая, но голая, в завитом парике.
Ползет к столице урча вражеский металлолом.
Бежит-дрожит судьба нелегкая налегке.
Вроде, царь - утконос. Но глядит как удав.
Боится света. Годами сидит то в норе, то в конуре.
Ночами грызет сам себя, оголодав.
Носит собственный член на поясе, в кобуре.
Пьет целебный настой из наркотических трав.
В голове - дыра, и что копошится в дыре?
Как ему теперь без преданного шута?
Где тот буллшит, который его рассмешит?
Кто раскрасит будущее в коричневые цвета?
Генеральный штаб захворал. Не ковид, но в горле першит.
Война ползет восвояси. Жаль, скорость у ней не та.
Был план, но скроен ужасно, на мертвую нитку сшит.","*** Сравняешь город с землей - ни города, ни земли: камни, осколки, обломки, смешанные с золой, и где те войска, которые в бывшую землю вели? Ржавый металл, взрывчатка, культурно-военный слой. Ядерный апокалипсис молча стоит вдали. Умер шут короля. Мертвый, но очень злой. Кто теперь перед владыкой будет скакать козлом? Кто будет трясти бубенцами на цветном колпаке? Плывет военный кораблик. На нем девица с веслом - гипсовая, но голая, в завитом парике. Ползет к столице урча вражеский металлолом. Бежит-дрожит судьба нелегкая налегке. Вроде, царь - утконос. Но глядит как удав. Боится света. Годами сидит то в норе, то в конуре. Ночами грызет сам себя, оголодав. Носит собственный член на поясе, в кобуре. Пьет целебный настой из наркотических трав. В голове - дыра, и что копошится в дыре? Как ему теперь без преданного шута? Где тот буллшит, который его рассмешит? Кто раскрасит будущее в коричневые цвета? Генеральный штаб захворал. Не ковид, но в горле першит. Война ползет восвояси. Жаль, скорость у ней не та. Был план, но скроен ужасно, на мертвую нитку сшит.","{'city', 'war', 'destruction'}",['war']
942,1030,Dmitry Strotsev,Russian,"*
Царство Божие
не тождественно раю
говорит
митрополит Антоний
мы
уже не вернемся в наши дома
даже если мы остаемся на месте
даже если наши дома
не разрушены российскими 
бомбардировками
не осквернены 
погромами ФСБ и ГУБОПиКа
если мы остаемся на месте
мы остаемся в аду
вы идете за Мной
спрашивает Христос
25.03.2022",* Царство Божие не тождественно раю говорит митрополит Антоний мы уже не вернемся в наши дома даже если мы остаемся на месте даже если наши дома не разрушены российскими  бомбардировками не осквернены  погромами ФСБ и ГУБОПиКа если мы остаемся на месте мы остаемся в аду вы идете за Мной спрашивает Христос 25.03.2022,"{'religion', 'fsb', 'russia', 'prayer', 'christianity'}",['religion']
943,1032,Iryna Shuvalova,Ukrainian,"писати про війну

1.
немає жодної мови в яку це можна вмістити

писати про війну це як ковтати
колючий дріт повільно
за сантиметром сантиметр

обіймати вві сні протитанкового їжака
голими руками й ногами

металеві слова наполегливо вгвинчувати 
в роздроблені кості ранку

вилущувати зі слів як із гільз
смерть чорну сочевицю 
біль свинцевий горох

пити з калюж
то оглушливий гуркіт
то густу червону тишу
.
2
.
пхаєш усюди мову як брудного пальця в рану
аби пересвідчуватись і свідчити

так свідчить про воду розбита карафа так
свідчить поламаний радіоприймач
про таїнство електромагнетизму

реальність скипає червоним молоком
збігає 
лишає на плиті темні сліди

порожня каструля поетового рота
безпомічно сичить шкварчить
береться чорною кіркою
.
3
.
мова тут сягає своєї межі за якою вона
хрип крик булькання белькотіння 
оббілований птаством скелет
риштування навколо розбомбленого театру

дивися мова стоїть порожня як будинок
звідки всіх вивели і постріляли

дивися мої слова спритні як милиці 
що крокують самі собою 

дивися
вони ще й танцюють
.
4
.
говори
не говори
кричи не кричи поете

смерть усе одно не чує

глуха від вибухів на обидва вуха
сліпа на обидва вибитих шрапнеллю ока
вона сунеться містом навпомацки
як гомерів циклоп 
обмацуючи нас по дорозі 
холодними вогкими руками

її велике втомлене тіло
пахне вогнем і металом

і кожен із нас
перед нею
ніхто
.
5
.
кожен поет 
випускник школи безсилля
що не засвоїв жодного уроку

свідомі хиткості свого човна 
що набираючися мовчання
просідає дедалі глибше

стоячи на ньому ми вимахуємо
своєю мовою неначе патерицею

сподіваючися розділити
це море відчаю надвоє

перейти його дном
як суходолом

на інший берег війни
.
6
.
боже ти добре знаєш 
на дві справи тільки годиться поетів язик

співати на смерть 
і на перемогу

то дай же нам боже
язики залізні щоби ними 

ми вилизали начисто
цей асфальт

не лишивши і сліду ворога
не лишивши і плями крові

і тільки оминувши тріщинку з якої
вже вперто пнеться
товсте зелене стебло
---------------------------
#шуваловірші
Image: Hieronymus Bosch - The Temptation of St. Anthony (fragment) c. 1500–10. Oil on panel (oak) The Nelson-Atkins Museum of Art, Kansas City, Missouri","писати про війну  1. немає жодної мови в яку це можна вмістити  писати про війну це як ковтати колючий дріт повільно за сантиметром сантиметр  обіймати вві сні протитанкового їжака голими руками й ногами  металеві слова наполегливо вгвинчувати  в роздроблені кості ранку  вилущувати зі слів як із гільз смерть чорну сочевицю  біль свинцевий горох  пити з калюж то оглушливий гуркіт то густу червону тишу . 2 . пхаєш усюди мову як брудного пальця в рану аби пересвідчуватись і свідчити  так свідчить про воду розбита карафа так свідчить поламаний радіоприймач про таїнство електромагнетизму  реальність скипає червоним молоком збігає  лишає на плиті темні сліди  порожня каструля поетового рота безпомічно сичить шкварчить береться чорною кіркою . 3 . мова тут сягає своєї межі за якою вона хрип крик булькання белькотіння  оббілований птаством скелет риштування навколо розбомбленого театру  дивися мова стоїть порожня як будинок звідки всіх вивели і постріляли  дивися мої слова спритні як милиці  що крокують самі собою   дивися вони ще й танцюють . 4 . говори не говори кричи не кричи поете  смерть усе одно не чує  глуха від вибухів на обидва вуха сліпа на обидва вибитих шрапнеллю ока вона сунеться містом навпомацки як гомерів циклоп  обмацуючи нас по дорозі  холодними вогкими руками  її велике втомлене тіло пахне вогнем і металом  і кожен із нас перед нею ніхто . 5 . кожен поет  випускник школи безсилля що не засвоїв жодного уроку  свідомі хиткості свого човна  що набираючися мовчання просідає дедалі глибше  стоячи на ньому ми вимахуємо своєю мовою неначе патерицею  сподіваючися розділити це море відчаю надвоє  перейти його дном як суходолом  на інший берег війни . 6 . боже ти добре знаєш  на дві справи тільки годиться поетів язик  співати на смерть  і на перемогу  то дай же нам боже язики залізні щоби ними   ми вилизали начисто цей асфальт  не лишивши і сліду ворога не лишивши і плями крові  і тільки оминувши тріщинку з якої вже вперто пнеться товсте зелене стебло ---------------------------  Image: Hieronymus Bosch - The Temptation of St. Anthony  c. 1500–10. Oil on panel  The Nelson-Atkins Museum of Art, Kansas City, Missouri","{'poetry', 'helplessness', 'war'}","['poetry', 'war']"
944,1034,Kateryna Kalytko,Ukrainian,"Вранці я уявляю, як свіжі вирви ракетні,
ніби отвори на сопілці, міняють звучання вулиці.
Во время люте сталося слово таке,
об яке розкололось минуле.
Ніхто з нас не перший, ми мовчали його,
знаючи, як багато воно підважить і зрушить,
ніби дрібні котенята, притоплені гордістю, 
небезпечним вогнем поціловані в душу. 
Невже нам знову впускати у жили пекло, 
трудити хребти під вагою великої віри?
Але тепер, коли усе – небезпека,
я би тебе вкривала власною шкірою.
Такий собі, – думаєш, – спосіб, аби пояснити ніжність,
ніби хочеш віддати зимову куртку.
І слово, від якого тікали раніше,
питає докірливо, пощо і ким закуте.
Але відчуваю, як темінь в тобі росте.
То хай це буде моєю отрутою теж.
Якщо потрібно, я її донесу
туди, де небо важке, як останній суд,
де ґрунт пам'ятає наші вбиті міста,
де й нам дивитися, сліпнути, пам'ятати,
в подвір’я зносити мертвих, як поснулих дітей. 
Хай твоя отрута буде моєю теж.
Хай жити з нею важче, ніж просто зараз померти.
Слово, якого не мовлено,
впоралося саме.
#еней_не_озирається","Вранці я уявляю, як свіжі вирви ракетні, ніби отвори на сопілці, міняють звучання вулиці. Во время люте сталося слово таке, об яке розкололось минуле. Ніхто з нас не перший, ми мовчали його, знаючи, як багато воно підважить і зрушить, ніби дрібні котенята, притоплені гордістю,  небезпечним вогнем поціловані в душу.  Невже нам знову впускати у жили пекло,  трудити хребти під вагою великої віри? Але тепер, коли усе – небезпека, я би тебе вкривала власною шкірою. Такий собі, – думаєш, – спосіб, аби пояснити ніжність, ніби хочеш віддати зимову куртку. І слово, від якого тікали раніше, питає докірливо, пощо і ким закуте. Але відчуваю, як темінь в тобі росте. То хай це буде моєю отрутою теж. Якщо потрібно, я її донесу туди, де небо важке, як останній суд, де ґрунт пам'ятає наші вбиті міста, де й нам дивитися, сліпнути, пам'ятати, в подвір’я зносити мертвих, як поснулих дітей.  Хай твоя отрута буде моєю теж. Хай жити з нею важче, ніж просто зараз померти. Слово, якого не мовлено, впоралося саме. ","{'jacket', 'clothing', 'religion', 'war', 'seasons'}","['religion', 'war', 'season']"
945,1035,Pavlo Vyshebaba,Ukrainian,"Маріуполь
У місті було нас сто тисяч душ:
таких, що не зрушиш скільки не руш;
таких, що гнуться під кожен вітер,
білі - як крейда, чорні - як бітум,
тих, що зраджували, тих, що зазнали зрад;
тих, хто певен – гріхи його тягнуть в ад;
тих, хто спокутував і тих, хто не знав провини:
якщо рай і є – для них там відчинено;
тих, що сильно кохали і ледве-ледь;
тих, що сиділи тихо й не йшли вперед;
ті, що спраглі й голодні, і хто був ситий,
і ті, що тільки збиралися народитись.
У місті було нас сто тисяч тіл,
не здатних спинити залізних стріл;
очі, які опікало від сліз та іскор,
наші кістки, що хрустіли під тиском;
шкіра, що пінилась від вогню;
рот, що благав про воду, хоч раз на дню;
м’язи, що зрадницькі замерзали;
гортань, що хрипіла із-під завалів;
мозок, що плутав усе зі сном, –
крихкі тіла, що валились від втом.
І плоть від плоті від кожного – діти,
яких ми ховали в дворі під плитами.
У місті було нас сто тисяч люду,
страшніше за горни Страшного суду,
за дев’ять кіл пекла узятих вкупу -
місто-герой? - місто-мученик Маріуполь.
Щасливий, хто першим вві сні замерз,
ми бачили те, що є гіршим за смерть,
і взяли з собою – в пісок та глину,
у землю, що звали ми Україною.
Хто має сміливість почути – вухом
лягай на цей ґрунт і уважно слухай,
це ми кричимо з-під землі впритул:
Врятуй наші душі, Господь, врятуй.
25.03.22","Маріуполь У місті було нас сто тисяч душ: таких, що не зрушиш скільки не руш; таких, що гнуться під кожен вітер, білі - як крейда, чорні - як бітум, тих, що зраджували, тих, що зазнали зрад; тих, хто певен – гріхи його тягнуть в ад; тих, хто спокутував і тих, хто не знав провини: якщо рай і є – для них там відчинено; тих, що сильно кохали і ледве-ледь; тих, що сиділи тихо й не йшли вперед; ті, що спраглі й голодні, і хто був ситий, і ті, що тільки збиралися народитись. У місті було нас сто тисяч тіл, не здатних спинити залізних стріл; очі, які опікало від сліз та іскор, наші кістки, що хрустіли під тиском; шкіра, що пінилась від вогню; рот, що благав про воду, хоч раз на дню; м’язи, що зрадницькі замерзали; гортань, що хрипіла із-під завалів; мозок, що плутав усе зі сном, – крихкі тіла, що валились від втом. І плоть від плоті від кожного – діти, яких ми ховали в дворі під плитами. У місті було нас сто тисяч люду, страшніше за горни Страшного суду, за дев’ять кіл пекла узятих вкупу - місто-герой? - місто-мученик Маріуполь. Щасливий, хто першим вві сні замерз, ми бачили те, що є гіршим за смерть, і взяли з собою – в пісок та глину, у землю, що звали ми Україною. Хто має сміливість почути – вухом лягай на цей ґрунт і уважно слухай, це ми кричимо з-під землі впритул: Врятуй наші душі, Господь, врятуй. 25.03.22","{'mariupol', 'hell', 'children', 'rubble', 'souls', 'war', 'god', 'prayer'}",['war']
947,1039,Boris Khersonsky,Russian,"* * *
Темнеет. Земля отдает накопленный жар.
В городе ничего, кроме порушенных стен.
По лиловому небу летит полосатый шар
в корзине стоит силиконовый манекен.
Жизнь -- форма существования синтетических тел.
Военная форма тем лучше, чем пуговицы блестят.
Строй противника краше тем, чем он поредел.
Вдовы прекрасны, поскольку в черном грустят.
Боится Петр -- завтра полтавский бой.
Над верхней губой дергается короткий ус.
Гетман целует флаг желтый и голубой,
Карл кричит с колокольни: «Сдавайся, рус!»
Москвой на французской ладони любуется Бонапарт,
слушает пение птиц, вспоминает Аустерлиц.
Перед обритым школьником -- стопка контурных карт.
Найди двести сорок отличий в очертаньях границ.
Из трех сражений, лежащих на одной прямой,
одно находится между двумя. Хорош военный парад!
Трепещут-пестрят знамена с золотой бахромой.
Пушки палят, шарик летит, птички парят.
2007","* * * Темнеет. Земля отдает накопленный жар. В городе ничего, кроме порушенных стен. По лиловому небу летит полосатый шар в корзине стоит силиконовый манекен. Жизнь -- форма существования синтетических тел. Военная форма тем лучше, чем пуговицы блестят. Строй противника краше тем, чем он поредел. Вдовы прекрасны, поскольку в черном грустят. Боится Петр -- завтра полтавский бой. Над верхней губой дергается короткий ус. Гетман целует флаг желтый и голубой, Карл кричит с колокольни: «Сдавайся, рус!» Москвой на французской ладони любуется Бонапарт, слушает пение птиц, вспоминает Аустерлиц. Перед обритым школьником -- стопка контурных карт. Найди двести сорок отличий в очертаньях границ. Из трех сражений, лежащих на одной прямой, одно находится между двумя. Хорош военный парад! Трепещут-пестрят знамена с золотой бахромой. Пушки палят, шарик летит, птички парят. 2007","{'empire', 'bonaparte', 'war', 'poltava', 'peter the great'}",['war']
948,1040,Boris Khersonsky,Russian,"***
ангел есть дуновение ветерок сквозной
теплый какой бывает в наших краях весной
пусть заперта дверь и окно затворено
ангелу чтобы войти не нужны ни дверь ни окно
потому что сквозной ветерок проникает сквозь
объединяя то что существовало врозь
беременность и девство человека и Божество
все что было разделено но ощущало родство
рядом холмы и луга рядом мычание стад
рядом цветет расцветает маленький райский сад
дева молча сидит дева пряжу прядет
дева пряжу прядет дева вестника ждет
Благовещение 2020",*** ангел есть дуновение ветерок сквозной теплый какой бывает в наших краях весной пусть заперта дверь и окно затворено ангелу чтобы войти не нужны ни дверь ни окно потому что сквозной ветерок проникает сквозь объединяя то что существовало врозь беременность и девство человека и Божество все что было разделено но ощущало родство рядом холмы и луга рядом мычание стад рядом цветет расцветает маленький райский сад дева молча сидит дева пряжу прядет дева пряжу прядет дева вестника ждет Благовещение 2020,"{'geography', 'ekphrasis', 'religion', 'angel'}","['geography', 'religion']"
949,1041,Halyna Kruk,Ukrainian,"#не_вірші
ви нічого поганого про мене не подумайте, 
я не буду на них наступати, хтось у Львові 
має граблі, щоб позичити ненадовго?
на зиму я лишила квіти на клумбі під листям,
тепер оте листя треба прибрати, а нема чим.
нині довелося біля тої клумби давати інтерв'ю
грузинському телебаченню, то мені було дуже соромно
я розумію, війна, я розумію, всяке може далі бути,
але позичте граблі. мені не щоб наступати,
мені щоб квіти бачили куди їм рости
поміж повітряними тривогами"," ви нічого поганого про мене не подумайте,  я не буду на них наступати, хтось у Львові  має граблі, щоб позичити ненадовго? на зиму я лишила квіти на клумбі під листям, тепер оте листя треба прибрати, а нема чим. нині довелося біля тої клумби давати інтерв'ю грузинському телебаченню, то мені було дуже соромно я розумію, війна, я розумію, всяке може далі бути, але позичте граблі. мені не щоб наступати, мені щоб квіти бачили куди їм рости поміж повітряними тривогами","{'war', 'georgia', 'soil'}",['war']
951,1045,Boris Khersonsky,"Russian, Polish","Молитва святого Франциска
Дай мне, Господи быть орудием мира, смиренья, любви.
Дай мне научить прощению тех, кто гневен и зол.
Словом моим в отчаявшихся надежды дух оживи.
Дай мне научить справедливости тех, кто творит произвол.
Дай мне примирить враждующих, дай моему уму
в усомнившихся веру возродить и укрепить.
осветить тропу заблудшим, погруженным во тьму,
скорбящих - обрадовать, жаждущих - напоить.
Научи утешения для себя не искать, а потом
научи меня, Господи, давать утешенье другим.
Не дай мне в гордыне своей поучать и грозить перстом,
но самому учиться, просвещаясь Духом Твоим.
Дай быть не любимым, но любящим. Я молю
Тебя об этой милости, возрастая в Духе Твоем.
Потому что я буду любим лишь тогда, когда сам люблю.
Потому что мы получаем лишь тогда, когда отдаем.
В самозабвении мы находим себя, прощая, мы прощены,
в скорби своей утешены, в смерти - воскрешены.
Аминь
март 2020
***
Ассизи. Монастырь святого Франциска.
Фрески на блеклом небесном фоне.
Ангелы здесь появляются без особого риска.
Им хорошо в пространстве, как на древней иконе.

Праведника найти, что в стоге сена - иголку.
Что-то непоправимое свойственно нашим лицам.
Зная это, святой Франциск проповедовал волку
и разъяснял катехизис небесным птицам.

Но за нечестием в нас сохранилось что-то,
что позволяет длиться Божью терпенью,
что позволяет нам любоваться фресками Джотто,
радоваться органу и церковному пенью.

Оттого-то Судья Небесный не предъявляет иска,
хоть книги наших грехов расставлены в небе по полкам.
Оттого-то мы можем слушать святого Франциска
наравне с небесными птицами и просвещенным волком.","Молитва святого Франциска Дай мне, Господи быть орудием мира, смиренья, любви. Дай мне научить прощению тех, кто гневен и зол. Словом моим в отчаявшихся надежды дух оживи. Дай мне научить справедливости тех, кто творит произвол. Дай мне примирить враждующих, дай моему уму в усомнившихся веру возродить и укрепить. осветить тропу заблудшим, погруженным во тьму, скорбящих - обрадовать, жаждущих - напоить. Научи утешения для себя не искать, а потом научи меня, Господи, давать утешенье другим. Не дай мне в гордыне своей поучать и грозить перстом, но самому учиться, просвещаясь Духом Твоим. Дай быть не любимым, но любящим. Я молю Тебя об этой милости, возрастая в Духе Твоем. Потому что я буду любим лишь тогда, когда сам люблю. Потому что мы получаем лишь тогда, когда отдаем. В самозабвении мы находим себя, прощая, мы прощены, в скорби своей утешены, в смерти - воскрешены. Аминь март 2020 *** Ассизи. Монастырь святого Франциска. Фрески на блеклом небесном фоне. Ангелы здесь появляются без особого риска. Им хорошо в пространстве, как на древней иконе.  Праведника найти, что в стоге сена - иголку. Что-то непоправимое свойственно нашим лицам. Зная это, святой Франциск проповедовал волку и разъяснял катехизис небесным птицам.  Но за нечестием в нас сохранилось что-то, что позволяет длиться Божью терпенью, что позволяет нам любоваться фресками Джотто, радоваться органу и церковному пенью.  Оттого-то Судья Небесный не предъявляет иска, хоть книги наших грехов расставлены в небе по полкам. Оттого-то мы можем слушать святого Франциска наравне с небесными птицами и просвещенным волком.","{'st. francis', 'animals', 'giotto', 'italy', 'frescoes', 'prayer'}",['animal']
952,1046,Kateryna Kalytko,Ukrainian,"Що є жіноча пам’ять на великій війні?
Шемаг закривавлений, з яким стоїть Вероніка
на шостій зупинці понад Шляхом Скорботи.
Дай мені втерти лице тобі. Дай мені опік дотику.
Я вже і твого імені не згадую просто, всує.
Може, драматизую. Може, сакралізую.
Пам'ять буде різною. Жіноча – бездонна, люта.
У первісній її темряві ходитиме мертвий люд.
Чоловіча – чіткіша, 
тваринніша і фатальніша. 
Звуки. Списки. Подробиці. Запах. Тілá. Містá.
Пам'ять буде подібною. Довгі дороги. Вітри.
Номери потерті. Стрімкий, як лавина, крик.
Вміння триматися ґрунту, мов польовий пирій.
Падати – й хóда. 
Дивитися, як вгорі
зачинається буря, розтрощує кожну тишу.
Дай мені в серці вихора послухати, як ти дишеш.
Все назавжди змінилося. Подивися на мене.
Вітер підхопить шемаг мій, як полкове знамено.","Що є жіноча пам’ять на великій війні? Шемаг закривавлений, з яким стоїть Вероніка на шостій зупинці понад Шляхом Скорботи. Дай мені втерти лице тобі. Дай мені опік дотику. Я вже і твого імені не згадую просто, всує. Може, драматизую. Може, сакралізую. Пам'ять буде різною. Жіноча – бездонна, люта. У первісній її темряві ходитиме мертвий люд. Чоловіча – чіткіша,  тваринніша і фатальніша.  Звуки. Списки. Подробиці. Запах. Тілá. Містá. Пам'ять буде подібною. Довгі дороги. Вітри. Номери потерті. Стрімкий, як лавина, крик. Вміння триматися ґрунту, мов польовий пирій. Падати – й хóда.  Дивитися, як вгорі зачинається буря, розтрощує кожну тишу. Дай мені в серці вихора послухати, як ти дишеш. Все назавжди змінилося. Подивися на мене. Вітер підхопить шемаг мій, як полкове знамено.","{'memory', 'women', 'storm'}",['memory']
953,1047,Kateryna Kalytko,Ukrainian,"Що є жіноча пам’ять на великій війні?
Шемаг закривавлений, з яким стоїть Вероніка
на шостій зупинці понад Шляхом Скорботи.
Дай мені втерти лице тобі. Дай мені опік дотику.
Я вже і твого імені не згадую просто, всує.
Може, драматизую. Може, сакралізую.
Пам'ять буде різною. Жіноча – бездонна, люта.
У первісній її темряві ходитиме мертвий люд.
Чоловіча – чіткіша, 
тваринніша і фатальніша. 
Звуки. Списки. Подробиці. Запах. Тілá. Містá.
Пам'ять буде подібною. Довгі дороги. Вітри.
Номери потерті. Стрімкий, як лавина, крик.
Вміння триматися ґрунту, мов польовий пирій.
Падати – й хóда. 
Дивитися, як вгорі
зачинається буря, розтрощує кожну тишу.
Дай мені в серці вихора послухати, як ти дишеш.
Все назавжди змінилося. Подивися на мене.
Вітер підхопить шемаг мій, як полкове знамено.
#еней_не_озирається","Що є жіноча пам’ять на великій війні? Шемаг закривавлений, з яким стоїть Вероніка на шостій зупинці понад Шляхом Скорботи. Дай мені втерти лице тобі. Дай мені опік дотику. Я вже і твого імені не згадую просто, всує. Може, драматизую. Може, сакралізую. Пам'ять буде різною. Жіноча – бездонна, люта. У первісній її темряві ходитиме мертвий люд. Чоловіча – чіткіша,  тваринніша і фатальніша.  Звуки. Списки. Подробиці. Запах. Тілá. Містá. Пам'ять буде подібною. Довгі дороги. Вітри. Номери потерті. Стрімкий, як лавина, крик. Вміння триматися ґрунту, мов польовий пирій. Падати – й хóда.  Дивитися, як вгорі зачинається буря, розтрощує кожну тишу. Дай мені в серці вихора послухати, як ти дишеш. Все назавжди змінилося. Подивися на мене. Вітер підхопить шемаг мій, як полкове знамено. ","{'time', 'memory', 'war', 'women'}","['time', 'memory', 'war']"
