,ID,poem_author,language,original_poem,light_clean_poem,theme,keywords,keywords_ori,keywords_eng,keyword_eng_theme
903,1077,Boris Khersonsky,Russian,"Эти стихи написаны в память о самосожжении россиянки Ирины Славиной.
In memoriam
Дорогие праведники! Молю вас ради Христа:
не сжигайте себя! Покидайте эти места.
Я понимаю, что каждый должен нести свой крест.
Но несите свои кресты подальше от этих мест.

Здесь каждая речь кривит, здесь каждая печь чадит,
здесь каждый второй - подлец, каждый третий - бандит.
Но вы живете - и ради вас Бог эту страну щадит. 
Уезжайте, не ждите, пока вас погонят плетьми,

Бегите, как Лот из Содома бежал с женой и детьми,
бегите куда угодно, но оставайтесь людьми.
Не дожидайтесь, когда кто-то из вас умрет,
кто то сопьется, а кто - то у вора отмычку сопрет,

кто-то скажет ""куплю"", а кто-то скажет ""продам"",
кто-то пошлет все к черту, а кто-то примкнет к рядам.
Уходите, пока вы чисты, уносите свои кресты,
огибайте соблазны и бетонные блок-посты.

Пусть тут не останется праведников. Быть может Господь тогда
поразит Своим гневом прокаженные города.
3 октября 2020 года","Эти стихи написаны в память о самосожжении россиянки Ирины Славиной. In memoriam Дорогие праведники! Молю вас ради Христа: не сжигайте себя! Покидайте эти места. Я понимаю, что каждый должен нести свой крест. Но несите свои кресты подальше от этих мест.  Здесь каждая речь кривит, здесь каждая печь чадит, здесь каждый второй - подлец, каждый третий - бандит. Но вы живете - и ради вас Бог эту страну щадит.  Уезжайте, не ждите, пока вас погонят плетьми,  Бегите, как Лот из Содома бежал с женой и детьми, бегите куда угодно, но оставайтесь людьми. Не дожидайтесь, когда кто-то из вас умрет, кто то сопьется, а кто - то у вора отмычку сопрет,  кто-то скажет ""куплю"", а кто-то скажет ""продам"", кто-то пошлет все к черту, а кто-то примкнет к рядам. Уходите, пока вы чисты, уносите свои кресты, огибайте соблазны и бетонные блок-посты.  Пусть тут не останется праведников. Быть может Господь тогда поразит Своим гневом прокаженные города. 3 октября 2020 года","{'russia', 'protest', 'in memoriam', 'irina slavina'}","[('дожидайтесь', 0.4562), ('пусть', 0.2576), ('господь', 0.25), ('несите', 0.2294), ('покидайте', 0.2268)]","['дожидайтесь', 'пусть', 'господь', 'несите', 'покидайте']","['wait', 'let', 'Lord', 'carry', 'leave']","[{'sequence': 'wait', 'labels': ['time', 'maidan', 'protest'], 'scores': [0.6383587718009949, 0.04666152223944664, 0.04066069424152374]}, {'sequence': 'let', 'labels': ['family', 'language', 'maidan'], 'scores': [0.11903434991836548, 0.11090347915887833, 0.09797660261392593]}, {'sequence': 'Lord', 'labels': ['gender', 'maidan', 'nation'], 'scores': [0.40684130787849426, 0.0824713483452797, 0.06691811978816986]}, {'sequence': 'carry', 'labels': ['family', 'maidan', 'time'], 'scores': [0.1699800044298172, 0.08530648797750473, 0.07459861040115356]}, {'sequence': 'leave', 'labels': ['protest', 'time', 'maidan'], 'scores': [0.1124931126832962, 0.10177455842494965, 0.09735286980867386]}]"
904,1078,Boris Khersonsky,Russian,"***
русские танки на украинской тракторной тяге
пригодятся в хозяйстве типа мечи на орала
небо и поле на нашем украинском флаге
а война разевала пасть и что-то орала

типа фашисты типа последыши типа бандеры
но все сливалось то вой сирены то посвист ракеты
патриарх возглашает символ русской военной веры
верую во единого марса в виде красной планеты

на ней посадят яблони пусть цветут пустоцветом
пусть плоды созревают с тротиловым эквивалентом
весна была русской но что будет жарким летом
неужто время пришло желто-черным гвардейским лентам

то стискиваю виски ладонями то затыкаю уши
то сжимаю зубы и слушаю их скрежет
так в аду поступают погибшие мертвые души
так военное время по живому мертвое режет

так затевают склоку так завершают кражу
чужих территорий жизней которым не знают цену
не приближайся ко мне вражина врежу и вмажу
сиди в бетонной берлоге отращивай бодрую смену",*** русские танки на украинской тракторной тяге пригодятся в хозяйстве типа мечи на орала небо и поле на нашем украинском флаге а война разевала пасть и что-то орала  типа фашисты типа последыши типа бандеры но все сливалось то вой сирены то посвист ракеты патриарх возглашает символ русской военной веры верую во единого марса в виде красной планеты  на ней посадят яблони пусть цветут пустоцветом пусть плоды созревают с тротиловым эквивалентом весна была русской но что будет жарким летом неужто время пришло желто-черным гвардейским лентам  то стискиваю виски ладонями то затыкаю уши то сжимаю зубы и слушаю их скрежет так в аду поступают погибшие мертвые души так военное время по живому мертвое режет  так затевают склоку так завершают кражу чужих территорий жизней которым не знают цену не приближайся ко мне вражина врежу и вмажу сиди в бетонной берлоге отращивай бодрую смену,"{'ukraine', 'russia', 'bandera', 'tractors', 'war', 'tanks'}","[('пустоцветом', 0.4018), ('фашисты', 0.323), ('эквивалентом', 0.3085), ('приближайся', 0.2833), ('сжимаю', 0.2672)]","['пустоцветом', 'фашисты', 'эквивалентом', 'приближайся', 'сжимаю']","['with a wild flower', 'fascists', 'equivalent', 'come closer', 'squeeze']","[{'sequence': 'with a wild flower', 'labels': ['nature', 'maidan', 'gender'], 'scores': [0.8372863531112671, 0.05149897560477257, 0.00906385388225317]}, {'sequence': 'fascists', 'labels': ['maidan', 'time', 'nation'], 'scores': [0.1167881041765213, 0.11104816198348999, 0.10157055407762527]}, {'sequence': 'equivalent', 'labels': ['family', 'maidan', 'time'], 'scores': [0.12076092511415482, 0.10460323840379715, 0.08000493049621582]}, {'sequence': 'come closer', 'labels': ['family', 'time', 'maidan'], 'scores': [0.14529208838939667, 0.12365257740020752, 0.11043167859315872]}, {'sequence': 'squeeze', 'labels': ['family', 'time', 'language'], 'scores': [0.12337921559810638, 0.10240132361650467, 0.0969376489520073]}]"
905,1079,Dmitry Strotsev,Russian,"*
тайна жизни
иногда
плотный клок
войлок и шелк
страсти
иногда
предстоянье умерших
как
полдень стоит
и
стоит
без опоры 
18.03.2013

69Olga Zondberg and 68 others
",* тайна жизни иногда плотный клок войлок и шелк страсти иногда предстоянье умерших как полдень стоит и стоит без опоры  18.03.2013  69Olga Zondberg and 68 others ,"{'life', 'death', 'life/death', 'mystery'}","[('предстоянье', 0.422), ('полдень', 0.3396), ('69olga', 0.266), ('zondberg', 0.2453), ('войлок', 0.1897)]","['предстоянье', 'полдень', '69olga', 'zondberg', 'войлок']","['anticipation', 'noon', '69olga', 'zondberg', 'felt']","[{'sequence': 'anticipation', 'labels': ['psychology', 'maidan', 'language'], 'scores': [0.13162238895893097, 0.12203403562307358, 0.12146636843681335]}, {'sequence': 'noon', 'labels': ['time', 'maidan', 'family'], 'scores': [0.3503102958202362, 0.11002520471811295, 0.07078631222248077]}, {'sequence': '69olga', 'labels': ['gender', 'language', 'animal'], 'scores': [0.22900418937206268, 0.19441114366054535, 0.103037990629673]}, {'sequence': 'zondberg', 'labels': ['language', 'nature', 'gender'], 'scores': [0.14951375126838684, 0.08896297216415405, 0.08545345067977905]}, {'sequence': 'felt', 'labels': ['family', 'maidan', 'love'], 'scores': [0.11669470369815826, 0.10572920739650726, 0.07991315424442291]}]"
908,1082,Julia Musakovska,Ukrainian,"***
такі незручні, такі страшні вірші,
повні люті,
такі неполіткоректні
жодної в цих віршах краси, 
жодної естетики
метафори зсохли й розсипались 
не розквітнувши
метафори закопані 
на дитячих майданчиках
під нашвидкуруч збитими 
хрестами
завмерлі
у неприродніх позах
біля під’їздів будинків,
присипані пилом 
готували їжу на відкритому вогні —
намагались вижити
загинули від зневоднення
під завалами
розстріляні в авто 
під білим прапором
із простирадла
з яскравими наплічниками за спиною
лежать на асфальті
долілиць
поруч із домашніми улюбленцями
даруйте, але такі вірші —
це все, що маємо для вас на сьогодні,
шановні пані та панове
глядачі
театру війни
31.03.2022","*** такі незручні, такі страшні вірші, повні люті, такі неполіткоректні жодної в цих віршах краси,  жодної естетики метафори зсохли й розсипались  не розквітнувши метафори закопані  на дитячих майданчиках під нашвидкуруч збитими  хрестами завмерлі у неприродніх позах біля під’їздів будинків, присипані пилом  готували їжу на відкритому вогні — намагались вижити загинули від зневоднення під завалами розстріляні в авто  під білим прапором із простирадла з яскравими наплічниками за спиною лежать на асфальті долілиць поруч із домашніми улюбленцями даруйте, але такі вірші — це все, що маємо для вас на сьогодні, шановні пані та панове глядачі театру війни 31.03.2022","{'literature', 'war', 'poetry'}","[('розстріляні', 0.4847), ('розквітнувши', 0.4404), ('неполіткоректні', 0.3881), ('розсипались', 0.3382), ('неприродніх', 0.3363)]","['розстріляні', 'розквітнувши', 'неполіткоректні', 'розсипались', 'неприродніх']","['shot', 'having blossomed', 'not politically correct', 'crumbled', 'unnatural']","[{'sequence': 'shot', 'labels': ['maidan', 'family', 'time'], 'scores': [0.11667285114526749, 0.08919109404087067, 0.07434750348329544]}, {'sequence': 'having blossomed', 'labels': ['life', 'time', 'maidan'], 'scores': [0.17404332756996155, 0.10086778551340103, 0.09675871580839157]}, {'sequence': 'not politically correct', 'labels': ['protest', 'language', 'maidan'], 'scores': [0.22715473175048828, 0.1747668832540512, 0.08255922794342041]}, {'sequence': 'crumbled', 'labels': ['time', 'maidan', 'life'], 'scores': [0.1539907306432724, 0.11703164130449295, 0.09246084839105606]}, {'sequence': 'unnatural', 'labels': ['protest', 'maidan', 'animal'], 'scores': [0.15397624671459198, 0.11965350806713104, 0.0814199447631836]}]"
909,1083,Oleh Kotsarev,Ukrainian,"ПІДВАЛИНИ ВОРУШАТЬСЯ

що тільки не сниться
людям у дні війни
кому бої кому жертви кому вороженьки
кому купання на острові
кому віночки з нарцисів

а ти уві сні
перформанс влаштовуєш
з литовською поеткою —
розкладаєте воєнні фотографії підлогою
читаєте вірші
а тоді берете плуга
й орете ламінат між фотографіями:
дуже доречні на ньому розмиті смужки
як борозни

дивись і співай як
ворушаться підвалини як
паралелепіпед стає архетипом дому як
дешевий ламінат стає полем
звідки щось виросте
вір що пісня саме про це",ПІДВАЛИНИ ВОРУШАТЬСЯ  що тільки не сниться людям у дні війни кому бої кому жертви кому вороженьки кому купання на острові кому віночки з нарцисів  а ти уві сні перформанс влаштовуєш з литовською поеткою — розкладаєте воєнні фотографії підлогою читаєте вірші а тоді берете плуга й орете ламінат між фотографіями: дуже доречні на ньому розмиті смужки як борозни  дивись і співай як ворушаться підвалини як паралелепіпед стає архетипом дому як дешевий ламінат стає полем звідки щось виросте вір що пісня саме про це,"{'dreams', 'art', 'war'}","[('влаштовуєш', 0.5206), ('розкладаєте', 0.3776), ('паралелепіпед', 0.3263), ('фотографіями', 0.2975), ('перформанс', 0.2732)]","['влаштовуєш', 'розкладаєте', 'паралелепіпед', 'фотографіями', 'перформанс']","['do you agree', 'unfold', 'parallelepiped', 'photos', 'performance']","[{'sequence': 'do you agree', 'labels': ['maidan', 'family', 'language'], 'scores': [0.11335941404104233, 0.11129865795373917, 0.08997553586959839]}, {'sequence': 'unfold', 'labels': ['time', 'life', 'language'], 'scores': [0.11940935999155045, 0.10762054473161697, 0.09391843527555466]}, {'sequence': 'parallelepiped', 'labels': ['poetry', 'animal', 'language'], 'scores': [0.1919020712375641, 0.16632603108882904, 0.14696893095970154]}, {'sequence': 'photos', 'labels': ['family', 'maidan', 'nature'], 'scores': [0.13010253012180328, 0.10784489661455154, 0.08387476205825806]}, {'sequence': 'performance', 'labels': ['maidan', 'protest', 'family'], 'scores': [0.12418734282255173, 0.10179079324007034, 0.10081823915243149]}]"
910,1084,Oleh Kotsarev,Ukrainian,"КВІТЕНЬ

Швидко очима район обмальовуємо
й бачимо —
входять до нас передові Квітневі загони.

Прапор Квітня швидкий:
знизу колір молодо-салатового листя,
згори колір дощу.

І сам Квітень сидить
на бойовому транспорті.

Вітаємо ми його як визволителя,
він усміхається
та пострілює вгору,
щоб не розслаблялися.

Тільки ми все одно розслабимось.","КВІТЕНЬ  Швидко очима район обмальовуємо й бачимо — входять до нас передові Квітневі загони.  Прапор Квітня швидкий: знизу колір молодо-салатового листя, згори колір дощу.  І сам Квітень сидить на бойовому транспорті.  Вітаємо ми його як визволителя, він усміхається та пострілює вгору, щоб не розслаблялися.  Тільки ми все одно розслабимось.","{'spring', 'war', 'seasons'}","[('розслабимось', 0.5363), ('обмальовуємо', 0.5303), ('усміхається', 0.4936), ('визволителя', 0.3744), ('вітаємо', 0.3344)]","['розслабимось', 'обмальовуємо', 'усміхається', 'визволителя', 'вітаємо']","[""let's relax"", 'sketch', 'smiles', 'liberator', 'congratulations']","[{'sequence': ""let's relax"", 'labels': ['time', 'family', 'maidan'], 'scores': [0.45383551716804504, 0.08173825591802597, 0.06988044083118439]}, {'sequence': 'sketch', 'labels': ['time', 'maidan', 'gender'], 'scores': [0.12139387428760529, 0.12043653428554535, 0.0819501280784607]}, {'sequence': 'smiles', 'labels': ['family', 'maidan', 'life'], 'scores': [0.16137926280498505, 0.12270142138004303, 0.094215527176857]}, {'sequence': 'liberator', 'labels': ['protest', 'nation', 'life'], 'scores': [0.3045065701007843, 0.10067106038331985, 0.0786549523472786]}, {'sequence': 'congratulations', 'labels': ['family', 'maidan', 'love'], 'scores': [0.18352921307086945, 0.11126841604709625, 0.09562879800796509]}]"
911,1085,Pavlo Vyshebaba,Ukrainian,"+
Як ти? - не буду тебе питати.
Довгі подробиці — атрибут
мирних часів, нині інший статус.
Просто, будь ласка, будь.
Курс на життя зараз не дорожче
нафти і газу, та я молюсь.
Фронт, укриття, чужина абощо —
просто постав тут плюс.
Маєш напевно чималий клопіт,
часом і я наче з ніг валюсь.
Наші дві долі малюю на попелі:
лінія, лінія — плюс.
31.03.22
P.S. Поставте, будь ласка, «+», якщо ви живі-здорові","+ Як ти? - не буду тебе питати. Довгі подробиці — атрибут мирних часів, нині інший статус. Просто, будь ласка, будь. Курс на життя зараз не дорожче нафти і газу, та я молюсь. Фронт, укриття, чужина абощо — просто постав тут плюс. Маєш напевно чималий клопіт, часом і я наче з ніг валюсь. Наші дві долі малюю на попелі: лінія, лінія — плюс. 31.03.22 P.S. Поставте, будь ласка, «+», якщо ви живі-здорові","{'social media', 'plus', 'texting', 'friendship', 'epistolary', 'war'}","[('атрибут', 0.3892), ('дорожче', 0.2879), ('валюсь', 0.2438), ('молюсь', 0.2411), ('малюю', 0.2245)]","['атрибут', 'дорожче', 'валюсь', 'молюсь', 'малюю']","['attribute', 'more expensive', ""I'm falling"", 'pray', 'I draw']","[{'sequence': 'attribute', 'labels': ['family', 'maidan', 'time'], 'scores': [0.09581907093524933, 0.08498618751764297, 0.07762281596660614]}, {'sequence': 'more expensive', 'labels': ['maidan', 'nation', 'language'], 'scores': [0.1829272210597992, 0.09755033254623413, 0.07391899079084396]}, {'sequence': ""I'm falling"", 'labels': ['life', 'maidan', 'time'], 'scores': [0.26122501492500305, 0.14797866344451904, 0.08458632230758667]}, {'sequence': 'pray', 'labels': ['religion', 'protest', 'poetry'], 'scores': [0.614880383014679, 0.125322625041008, 0.09895127266645432]}, {'sequence': 'I draw', 'labels': ['time', 'maidan', 'animal'], 'scores': [0.1318889856338501, 0.1302676498889923, 0.08087322115898132]}]"
912,1086,Alex Averbuch,Ukrainian,"*
як пережити те що вже відбулося
те яке щомиті непереборно
тягне до себе –
підійди
доторкнись
але ти відхиляєшся
ховаєш руки за спину
відвертаєш обличчя вбік
нібито не впізнаєш
однак тільки-но воно даленіє
щось підтягує тебе
наче за пуповину
у цю сіро-руду течію
яка кожною бульбашкою
ще пам’ятає спокійні безбарвні води
і ти позбавлений сили відштовхуватися
млієш від болю
бо тобі знов нарешті добре
так добре всіх їх видно
що лише прозора межа
відокремлює два благання
твоє – ненародження
їхнє – несмерті",* як пережити те що вже відбулося те яке щомиті непереборно тягне до себе – підійди доторкнись але ти відхиляєшся ховаєш руки за спину відвертаєш обличчя вбік нібито не впізнаєш однак тільки-но воно даленіє щось підтягує тебе наче за пуповину у цю сіро-руду течію яка кожною бульбашкою ще пам’ятає спокійні безбарвні води і ти позбавлений сили відштовхуватися млієш від болю бо тобі знов нарешті добре так добре всіх їх видно що лише прозора межа відокремлює два благання твоє – ненародження їхнє – несмерті,"{'survival', 'immortality', 'strength'}","[('впізнаєш', 0.5162), ('відхиляєшся', 0.4882), ('доторкнись', 0.4312), ('непереборно', 0.391), ('відштовхуватися', 0.313)]","['впізнаєш', 'відхиляєшся', 'доторкнись', 'непереборно', 'відштовхуватися']","['you will recognize', 'you deviate', 'touch', 'overwhelmingly', 'push back']","[{'sequence': 'you will recognize', 'labels': ['memory', 'family', 'maidan'], 'scores': [0.1699557900428772, 0.1110672727227211, 0.08064485341310501]}, {'sequence': 'you deviate', 'labels': ['protest', 'maidan', 'time'], 'scores': [0.12608857452869415, 0.11821562051773071, 0.09955461323261261]}, {'sequence': 'touch', 'labels': ['family', 'maidan', 'life'], 'scores': [0.15282487869262695, 0.1331387460231781, 0.07323059439659119]}, {'sequence': 'overwhelmingly', 'labels': ['time', 'maidan', 'nation'], 'scores': [0.11191941797733307, 0.10020866245031357, 0.09072818607091904]}, {'sequence': 'push back', 'labels': ['protest', 'time', 'maidan'], 'scores': [0.5562779903411865, 0.05976933613419533, 0.049761123955249786]}]"
913,1088,Boris Khersonsky,Russian,"памяти Е.А.Е.
Когда я слышу стихи ""Любимая, спи"",
мне очень жаль дремучего пса на цепи,
который зачем-то лижет соленые звенья.
Наверное, потому, что я сам на цепи сидел,
и слушал стихи о величии наших дел,
и скрежетал зубами под гром хорового пенья.

И мысленно провожая тебя в твой последний путь,
я вижу себя в железной клетке, пытающимся согнуть,
вернее, раздвинуть в стороны крепкие прутья.
Ни Рима, ни даже Варны - недостижимая цель,
раздвинуть прутья и втиснуться в узкую щель,
и оказаться в плену восторженного безлюдья.

Это было недавно - как в песне - это было давно,
тебе было много позволено и много дано,
кляни комсомол, был бы нетленен Ленин,
маячил бы пугалом коммунизм за углом,
тащили бы пионеры из подвалов металлолом,
и не был бы русский рубль на зеленый доллар обменян.

Вспомни о Бабьем Яре - за него тебя пожурят,
разъяснят, что там расстреливали подряд
футболистов и партизан, и мирных советских граждан,
а что слово ""еврей"" было в их паспортах,
то известно, что не имеет национальности прах,
вспомним всех поименно, и забудем о каждом.

Ибо вальс устарел - говорит кое-кто смеясь,
разве только в тайге, где москиты, роясь
насыщают себя кровью ветренной молодежи,
голых баб - как в бане, и бабы прыгают в снег,
баня это обитель жара и чистых нег,
здесь хорошо, здесь можно обойтись без одежи.

Но уж если одежа - тогда уже нужен свежак.
цветастый галстук, немыслимо пестрый пиджак,
огромная шуба на зависть покойному Мандельштаму.
Опять же хор о величии наших дел,
и посиделки в подследственном ЦДЛ,
гуляем, пьем, вспоминая ебену маму.

И о чем горевать, если всюду виден прогресс,
и уже построена вся эта блядская ГЭС,
и Стенька Разин связан и четвертован,
И где тот Союз, и тот -как его - комсомол,
все развеяно прахом - мелкий помол,
и ты ушел путем, который нам всем уготован.
2021","памяти Е.А.Е. Когда я слышу стихи ""Любимая, спи"", мне очень жаль дремучего пса на цепи, который зачем-то лижет соленые звенья. Наверное, потому, что я сам на цепи сидел, и слушал стихи о величии наших дел, и скрежетал зубами под гром хорового пенья.  И мысленно провожая тебя в твой последний путь, я вижу себя в железной клетке, пытающимся согнуть, вернее, раздвинуть в стороны крепкие прутья. Ни Рима, ни даже Варны - недостижимая цель, раздвинуть прутья и втиснуться в узкую щель, и оказаться в плену восторженного безлюдья.  Это было недавно - как в песне - это было давно, тебе было много позволено и много дано, кляни комсомол, был бы нетленен Ленин, маячил бы пугалом коммунизм за углом, тащили бы пионеры из подвалов металлолом, и не был бы русский рубль на зеленый доллар обменян.  Вспомни о Бабьем Яре - за него тебя пожурят, разъяснят, что там расстреливали подряд футболистов и партизан, и мирных советских граждан, а что слово ""еврей"" было в их паспортах, то известно, что не имеет национальности прах, вспомним всех поименно, и забудем о каждом.  Ибо вальс устарел - говорит кое-кто смеясь, разве только в тайге, где москиты, роясь насыщают себя кровью ветренной молодежи, голых баб - как в бане, и бабы прыгают в снег, баня это обитель жара и чистых нег, здесь хорошо, здесь можно обойтись без одежи.  Но уж если одежа - тогда уже нужен свежак. цветастый галстук, немыслимо пестрый пиджак, огромная шуба на зависть покойному Мандельштаму. Опять же хор о величии наших дел, и посиделки в подследственном ЦДЛ, гуляем, пьем, вспоминая ебену маму.  И о чем горевать, если всюду виден прогресс, и уже построена вся эта блядская ГЭС, и Стенька Разин связан и четвертован, И где тот Союз, и тот -как его - комсомол, все развеяно прахом - мелкий помол, и ты ушел путем, который нам всем уготован. 2021","{'stenka razin', 'rome', 'mandelstam', 'soviet union', 'coat', 'in memoriam', 'evtushenko', 'komsomol', 'jews', 'babyn yar'}","[('коммунизм', 0.4293), ('недостижимая', 0.3898), ('мандельштаму', 0.3647), ('втиснуться', 0.3463), ('вспоминая', 0.3116)]","['коммунизм', 'недостижимая', 'мандельштаму', 'втиснуться', 'вспоминая']","['communism', 'unattainable', 'Mandelstam', 'squeeze in', 'remembering']","[{'sequence': 'communism', 'labels': ['nation', 'language', 'protest'], 'scores': [0.21960575878620148, 0.16339091956615448, 0.14898723363876343]}, {'sequence': 'unattainable', 'labels': ['protest', 'maidan', 'time'], 'scores': [0.13039806485176086, 0.10171882063150406, 0.0921943262219429]}, {'sequence': 'Mandelstam', 'labels': ['maidan', 'language', 'gender'], 'scores': [0.4707573652267456, 0.14523935317993164, 0.05433319881558418]}, {'sequence': 'squeeze in', 'labels': ['time', 'family', 'maidan'], 'scores': [0.12735122442245483, 0.11072701960802078, 0.09949323534965515]}, {'sequence': 'remembering', 'labels': ['memory', 'time', 'family'], 'scores': [0.6893434524536133, 0.06549955904483795, 0.03471072018146515]}]"
914,1089,Boris Khersonsky,Russian,"1 апреля - день смеха сквозь невидимые миру слезы. С Днем Рождения Николая Васильевич! ГОГОЛЬНАШ!
***
Да, конечно, выросли, подтянулись и поумнели,
влезли в компьютер, на котором клином сошелся свет,
но так и не вышли из гоголевской ""Шинели"",
потому что из этой шинели выхода нет.

Мы копили деньги. мы шили ее всем миром.
И вот разбойник ночной сорвал ее на мосту.
Ах если бы мама в детстве лечила нас рыбьим жиром!
Ах, если бы полицейский ночью стоял на посту.

Ах, если бы он разбойника взял за шкирку,
и свел в участок, ни слова не говоря,
мы бы не пили запоем,не кололи бы в вену ширку,
не праздновали годовщины великого октября.

И если бы эта шинель, которую мы надели,
как шкура вторая прочно к нам приросла,
мы бы уверенно шли к нашей конечной цели,
и хворь бы нас не скрутила, и смерть бы не унесла.
1.04. 15
***
то отсутствие носа то опустела касса,
то водки не продают до второго часа
в рыбном отсутствие рыбы в мясном отсутствие мяса
лица разнятся но в головах однородная масса

в стране разруха в людях присутствие духа
всюду сердца широки а улыбки от уха до уха
в космосе спутник би-бип в ящике пачка открыток
в законе вор у вора на стреме маруха
хочется чтобы прибыль а на деле один убыток
гоголь ходит по невскому невский находится в риме
актеры безлики а дамы гуляют в гриме
в каждой супружеской спальне ночная камера пыток
молчуны отдают предпочтение пантомиме

говоруны предпочитают кафедры или трибуны
гитаристы поют романсы щипают струны
в небе два архангела первый с мечом а второй с трубою
майор ковалев смотрит на пустоту над верхней губою
2017","1 апреля - день смеха сквозь невидимые миру слезы. С Днем Рождения Николая Васильевич! ГОГОЛЬНАШ! *** Да, конечно, выросли, подтянулись и поумнели, влезли в компьютер, на котором клином сошелся свет, но так и не вышли из гоголевской ""Шинели"", потому что из этой шинели выхода нет.  Мы копили деньги. мы шили ее всем миром. И вот разбойник ночной сорвал ее на мосту. Ах если бы мама в детстве лечила нас рыбьим жиром! Ах, если бы полицейский ночью стоял на посту.  Ах, если бы он разбойника взял за шкирку, и свел в участок, ни слова не говоря, мы бы не пили запоем,не кололи бы в вену ширку, не праздновали годовщины великого октября.  И если бы эта шинель, которую мы надели, как шкура вторая прочно к нам приросла, мы бы уверенно шли к нашей конечной цели, и хворь бы нас не скрутила, и смерть бы не унесла. 1.04. 15 *** то отсутствие носа то опустела касса, то водки не продают до второго часа в рыбном отсутствие рыбы в мясном отсутствие мяса лица разнятся но в головах однородная масса  в стране разруха в людях присутствие духа всюду сердца широки а улыбки от уха до уха в космосе спутник би-бип в ящике пачка открыток в законе вор у вора на стреме маруха хочется чтобы прибыль а на деле один убыток гоголь ходит по невскому невский находится в риме актеры безлики а дамы гуляют в гриме в каждой супружеской спальне ночная камера пыток молчуны отдают предпочтение пантомиме  говоруны предпочитают кафедры или трибуны гитаристы поют романсы щипают струны в небе два архангела первый с мечом а второй с трубою майор ковалев смотрит на пустоту над верхней губою 2017","{'laughter', 'overcoat', 'coat', 'cycle', 'nose', 'gogol', 'holiday'}","[('скрутила', 0.4224), ('предпочтение', 0.4187), ('рыбьим', 0.3398), ('пантомиме', 0.2722), ('супружеской', 0.2638)]","['скрутила', 'предпочтение', 'рыбьим', 'пантомиме', 'супружеской']","['twisted', 'preference', 'fishy', 'pantomime', 'marital']","[{'sequence': 'twisted', 'labels': ['maidan', 'language', 'protest'], 'scores': [0.12831871211528778, 0.11426138132810593, 0.08308371156454086]}, {'sequence': 'preference', 'labels': ['maidan', 'family', 'language'], 'scores': [0.14254169166088104, 0.07616204768419266, 0.07455013692378998]}, {'sequence': 'fishy', 'labels': ['animal', 'gender', 'maidan'], 'scores': [0.6155393123626709, 0.056256767362356186, 0.0508832223713398]}, {'sequence': 'pantomime', 'labels': ['protest', 'maidan', 'language'], 'scores': [0.21047964692115784, 0.1532537341117859, 0.10371329635381699]}, {'sequence': 'marital', 'labels': ['love', 'maidan', 'life'], 'scores': [0.33225706219673157, 0.21387630701065063, 0.16818273067474365]}]"
